package,version,source,license,cargo_checksum,classification
fdeflate,0.3.7,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,1e6853b52649d4ac5c0bd02320cddc5ba956bdb407c4b75a2c6b75bf51500f8c,PERMISSIVE_OR_NOTICE
field-offset,0.3.6,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,38e2275cc4e4fc009b0669731a1e5ab7ebf11f469eaede2bab9309a5b4d6057f,PERMISSIVE_OR_NOTICE
find-msvc-tools,0.1.9,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,5baebc0774151f905a1a2cc41989300b1e6fbb29aff0ceffa1064fdd3088d582,PERMISSIVE_OR_NOTICE
flate2,1.1.10,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,6e634e2e0ebac1ee034020da1ca582e17ffe4e0f5e985823721e168928136dcb,PERMISSIVE_OR_NOTICE
fnv,1.0.7,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 / MIT,3f9eec918d3f24069decb9af1554cad7c880e2da24a9afd88aca000531ab82c1,PERMISSIVE_OR_NOTICE
foldhash,0.1.5,registry+https://github.com/rust-lang/crates.io-index,Zlib,d9c4f5dac5e15c24eb999c26181a6ca40b39fe946cbe4c263c7209467bc83af2,PERMISSIVE_OR_NOTICE
foldhash,0.2.0,registry+https://github.com/rust-lang/crates.io-index,Zlib,77ce24cb58228fbb8aa041425bb1050850ac19177686ea6e0f41a70416f56fdb,PERMISSIVE_OR_NOTICE
foreign-types,0.5.0,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,d737d9aa519fb7b749cbc3b962edcf310a8dd1f4b67c91c4f83975dbdd17d965,PERMISSIVE_OR_NOTICE
foreign-types-macros,0.2.4,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,ea5190182e6915eb873ddbc16e23b711b6eb1f9c00a0d0a3a91b5f6228475225,PERMISSIVE_OR_NOTICE
foreign-types-shared,0.3.1,registry+https://github.com/rust-lang/crates.io-index,MIT/Apache-2.0,aa9a19cbb55df58761df49b23516a86d432839add4af60fc256da840f66ed35b,PERMISSIVE_OR_NOTICE
form_urlencoded,1.2.2,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,cb4cb245038516f5f85277875cdaa4f7d2c9a0fa0468de06ed190163b1581fcf,PERMISSIVE_OR_NOTICE
funty,2.0.0,registry+https://github.com/rust-lang/crates.io-index,MIT,e6d5a32815ae3f33302d95fdcb2ce17862f8c65363dcfd29360480ba1001fc9c,PERMISSIVE_OR_NOTICE
futures-channel,0.3.34,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,b1f9e3d69d39e4862ffed03ed071a76f9a13ba1d9109d355b0f0aa6b15e393c4,PERMISSIVE_OR_NOTICE
futures-core,0.3.34,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,92d699e522242e69e3003b94ecc1f960f3a5e015aa7c5d7486e65ad01dd94f5e,PERMISSIVE_OR_NOTICE
futures-executor,0.3.34,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,031b47cf1a3c6cc8bc2fc76cd437f521619387907d469316e7c0bc278f1f5432,PERMISSIVE_OR_NOTICE
